Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
21 April 2024 - 09:53 AM,9.9,125.35,15,1.4,008 km S 82° E of San Ricardo (Southern Leyte)
21 April 2024 - 09:16 AM,13.44,120.32,4,2.2,016 km N 81° W of Paluan (Occidental Mindoro)
21 April 2024 - 08:26 AM,14.29,120.24,66,2.5,031 km S 59° W of Mariveles (Bataan)
21 April 2024 - 07:51 AM,9.85,125.37,6,3.7,010 km N 36° W of San Francisco (Surigao Del Norte)
21 April 2024 - 07:46 AM,8.61,126.8,16,2.9,057 km N 62° E of Hinatuan (Surigao Del Sur)
21 April 2024 - 07:45 AM,8.29,127.21,10,1.6,093 km N 72° E of Lingig (Surigao Del Sur)
21 April 2024 - 07:31 AM,19.12,121.15,1,3.1,007 km N 75° W of Dalupiri Island (Calayan) (Cagayan)
21 April 2024 - 07:04 AM,7.59,126.24,34,1.9,012 km N 69° E of New Bataan (Davao De Oro)
21 April 2024 - 06:09 AM,5.37,127.65,33,3.2,225 km S 51° E of Governor Generoso (Davao Oriental)
21 April 2024 - 05:45 AM,7.02,126.68,25,3.4,027 km S 37° E of Manay (Davao Oriental)
21 April 2024 - 05:17 AM,6,126.1,120,2.2,050 km S 64° E of Don Marcelino (Davao Occidental)
21 April 2024 - 05:14 AM,8.34,126.48,28,1.7,016 km S 78° E of Hinatuan (Surigao Del Sur)
21 April 2024 - 04:06 AM,8.94,126.45,31,1.9,017 km N 81° E of Cagwait (Surigao Del Sur)
21 April 2024 - 03:59 AM,18.02,120.58,25,2.3,004 km S 28° E of City Of Batac (Ilocos Norte)
21 April 2024 - 03:07 AM,9.08,126.48,17,3.6,024 km N 60° E of Bayabas (Surigao Del Sur)
21 April 2024 - 02:58 AM,6.96,126.78,26,2.9,039 km S 43° E of Manay (Davao Oriental)
21 April 2024 - 02:17 AM,8.86,126.81,11,2.6,057 km S 83° E of Cagwait (Surigao Del Sur)
21 April 2024 - 02:14 AM,9.47,125.97,3,3.2,011 km N 12° E of Carrascal (Surigao Del Sur)
21 April 2024 - 02:07 AM,7.85,126.98,24,3.3,059 km N 84° E of Cateel (Davao Oriental)
21 April 2024 - 01:09 AM,8.06,126.68,19,1.7,030 km N 86° E of Lingig (Surigao Del Sur)
21 April 2024 - 01:03 AM,8.4,126.32,72,2,004 km N 25° W of Hinatuan (Surigao Del Sur)
21 April 2024 - 01:00 AM,8.06,126.74,21,1.8,036 km N 87° E of Lingig (Surigao Del Sur)
21 April 2024 - 12:43 AM,18.62,120.85,26,2.2,010 km N 42° E of Pagudpud (Ilocos Norte)
21 April 2024 - 12:22 AM,7.8,127.15,5,3.2,070 km N 69° E of Baganga (Davao Oriental)
21 April 2024 - 12:21 AM,8.52,126.86,2,2.4,060 km N 73° E of Hinatuan (Surigao Del Sur)
20 April 2024 - 11:56 PM,7.83,127.01,11,1.9,056 km N 60° E of Baganga (Davao Oriental)
20 April 2024 - 11:56 PM,7.84,127,12,1.8,056 km N 59° E of Baganga (Davao Oriental)
20 April 2024 - 11:45 PM,17.45,121.19,6,3.6,006 km S 16° W of Balbalan (Kalinga)
20 April 2024 - 11:45 PM,12.46,124.53,20,2.5,008 km S 27° W of Bobon (Northern Samar)
20 April 2024 - 11:32 PM,7.81,127,10,1.8,055 km N 61° E of Baganga (Davao Oriental)
20 April 2024 - 11:05 PM,11.93,120.74,20,2.7,059 km S 37° W of San Jose (Occidental Mindoro)
20 April 2024 - 08:30 PM,9.52,125.65,19,2.7,009 km S 67° E of Tubod (Surigao Del Norte)
20 April 2024 - 07:08 PM,18.85,121.42,85,2.9,005 km N 89° E of Fuga Island (Aparri) (Cagayan)
20 April 2024 - 06:25 PM,7.83,122.57,35,1.9,005 km N 23° W of Ipil (Zamboanga Sibugay)
20 April 2024 - 03:37 PM,5.74,125.07,22,1.8,016 km S 30° E of Maasim (Sarangani)
20 April 2024 - 03:26 PM,8.09,126.93,8,2.1,057 km N 84° E of Lingig (Surigao Del Sur)
20 April 2024 - 03:18 PM,7.93,126.67,8,2.7,028 km N 57° E of Cateel (Davao Oriental)
20 April 2024 - 01:50 PM,5.88,124.93,24,1.4,007 km N 73° W of Maasim (Sarangani)
20 April 2024 - 01:49 PM,7.78,126.21,35,1.9,018 km N 49° E of Compostela (Davao De Oro)
20 April 2024 - 01:39 PM,7.84,127.04,1,3.5,060 km N 61° E of Baganga (Davao Oriental)
20 April 2024 - 01:03 PM,7.81,127.03,25,1.9,058 km N 63° E of Baganga (Davao Oriental)
20 April 2024 - 12:22 PM,4.36,126.87,87,3.7,198 km S 51° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
20 April 2024 - 11:58 AM,8.42,126.59,27,1.6,028 km N 78° E of Hinatuan (Surigao Del Sur)
20 April 2024 - 10:51 AM,8,126.84,11,3.2,048 km N 61° E of Cateel (Davao Oriental)
20 April 2024 - 10:51 AM,7.94,126.6,9,1.4,022 km N 44° E of Cateel (Davao Oriental)
20 April 2024 - 10:49 AM,7.85,127.2,6,2.3,076 km N 67° E of Baganga (Davao Oriental)
20 April 2024 - 10:35 AM,7.94,126.94,12,1.8,057 km N 46° E of Baganga (Davao Oriental)
20 April 2024 - 10:22 AM,7.88,127.2,1,4.9,078 km N 64° E of Baganga (Davao Oriental)
20 April 2024 - 10:13 AM,18.63,120.81,46,1.9,008 km N 19° E of Pagudpud (Ilocos Norte)
20 April 2024 - 09:53 AM,8.06,126.98,9,2.2,063 km N 87° E of Lingig (Surigao Del Sur)
20 April 2024 - 09:46 AM,7.87,127.09,9,2.8,067 km N 61° E of Baganga (Davao Oriental)
20 April 2024 - 09:43 AM,8.94,126.54,11,3,027 km N 86° E of Cagwait (Surigao Del Sur)
20 April 2024 - 08:39 AM,4.48,126.76,95,3.7,180 km S 53° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
20 April 2024 - 08:03 AM,13.19,120.61,19,2.5,005 km S 24° E of Mamburao (Occidental Mindoro)
20 April 2024 - 07:06 AM,9.26,126.67,16,1.4,052 km S 88° E of Cortes (Surigao Del Sur)
20 April 2024 - 07:02 AM,9.29,126.48,17,1.8,032 km N 87° E of Cortes (Surigao Del Sur)
20 April 2024 - 06:44 AM,17.16,120.31,16,2.9,014 km S 86° W of City Of Candon (Ilocos Sur)
20 April 2024 - 06:38 AM,7.88,126,13,2.5,008 km N 47° W of Monkayo (Davao De Oro)
20 April 2024 - 06:21 AM,8.69,126.58,20,2.8,033 km S 69° E of Marihatag (Surigao Del Sur)
20 April 2024 - 06:07 AM,7.56,126.1,3,2.3,004 km N 73° W of New Bataan (Davao De Oro)
20 April 2024 - 04:45 AM,6.33,126.96,81,2.8,097 km S 36° E of Tarragona (Davao Oriental)
20 April 2024 - 04:08 AM,9.11,126.39,35,2,019 km N 36° E of Bayabas (Surigao Del Sur)
20 April 2024 - 03:28 AM,12.62,123.53,2,2.4,015 km S 79° W of Monreal (Masbate)
20 April 2024 - 03:04 AM,8.34,126.31,33,1.8,004 km S 45° W of Hinatuan (Surigao Del Sur)
20 April 2024 - 02:48 AM,9.02,125.64,26,2,007 km S 55° E of Remedios T. Romualdez (Agusan Del Norte)
20 April 2024 - 02:39 AM,8.32,127.4,10,3.5,114 km N 74° E of Lingig (Surigao Del Sur)
20 April 2024 - 02:17 AM,8.65,126.48,20,2.4,026 km S 51° E of Marihatag (Surigao Del Sur)
20 April 2024 - 01:58 AM,5.74,124.02,49,2,056 km S 19° W of Palimbang (Sultan Kudarat)
20 April 2024 - 01:33 AM,17.41,120.86,9,1.4,004 km South of Bucloc (Abra)
20 April 2024 - 01:03 AM,8.8,126.67,1,2.2,041 km N 90° E of Marihatag (Surigao Del Sur)
20 April 2024 - 12:58 AM,9.16,126.36,28,1.9,023 km N 66° E of City Of Tandag (Surigao Del Sur)
19 April 2024 - 10:37 PM,13.87,120.54,74,2,011 km N 66° W of Calatagan (Batangas)
19 April 2024 - 10:26 PM,8.14,126.82,13,3.1,046 km N 76° E of Lingig (Surigao Del Sur)
19 April 2024 - 10:06 PM,13.27,120.1,6,3,043 km S 68° W of Paluan (Occidental Mindoro)
19 April 2024 - 07:54 PM,9.14,126.27,4,3.3,013 km N 56° E of City Of Tandag (Surigao Del Sur)
19 April 2024 - 07:42 PM,13.58,120.16,23,2.7,018 km S 32° W of Looc (Occidental Mindoro)
19 April 2024 - 07:28 PM,6.32,124.09,33,2.6,016 km N 41° W of Palimbang (Sultan Kudarat)
19 April 2024 - 07:04 PM,8.19,126.78,11,4,043 km N 68° E of Lingig (Surigao Del Sur)
19 April 2024 - 07:02 PM,17.54,122.23,18,2.5,017 km N 02° W of Maconacon (Isabela)
19 April 2024 - 06:53 PM,13.17,122.89,7,2.2,010 km N 67° W of San Pascual (Masbate)
19 April 2024 - 06:28 PM,9.05,126.5,23,2.1,026 km N 56° E of Cagwait (Surigao Del Sur)
19 April 2024 - 03:40 PM,9.76,122.51,21,2,009 km S 83° E of City Of Sipalay (Negros Occidental)
19 April 2024 - 03:08 PM,18.5,120.72,23,2.6,008 km S 82° E of Burgos (Ilocos Norte)
19 April 2024 - 03:04 PM,11.11,121.83,19,2.5,023 km S 82° W of Laua-an (Antique)
19 April 2024 - 12:03 PM,9.5,126.41,29,2.5,034 km N 44° E of Cortes (Surigao Del Sur)
19 April 2024 - 09:57 AM,10.32,125.99,23,2.7,034 km N 09° W of Santa Monica (Surigao Del Norte)
19 April 2024 - 08:38 AM,5.81,125.13,26,2.4,008 km S 81° W of Glan (Sarangani)
19 April 2024 - 07:58 AM,8.85,125.82,23,2,014 km N 76° E of Sibagat (Agusan Del Sur)
19 April 2024 - 07:35 AM,7.6,126.14,32,1.6,005 km N 05° E of New Bataan (Davao De Oro)
19 April 2024 - 06:17 AM,1.99,126.4,13,4.4,394 km S 16° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
19 April 2024 - 06:00 AM,12.64,123.62,6,2.1,005 km N 89° W of Monreal (Masbate)
19 April 2024 - 05:06 AM,8.65,126.44,21,3.1,022 km S 43° E of Marihatag (Surigao Del Sur)
19 April 2024 - 04:09 AM,9.24,126.36,10,1.9,019 km S 76° E of Cortes (Surigao Del Sur)
19 April 2024 - 04:00 AM,2.65,126.66,51,4.1,335 km S 24° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
19 April 2024 - 03:55 AM,13.78,120.79,34,1.6,015 km N 33° W of Tingloy (Batangas)
19 April 2024 - 02:41 AM,13.68,120.66,104,2.1,017 km S 09° E of Calatagan (Batangas)
19 April 2024 - 02:09 AM,6.5,126.04,34,2.2,018 km S 13° W of Governor Generoso (Davao Oriental)
19 April 2024 - 02:00 AM,17.65,121.21,32,2.2,017 km N 04° E of Balbalan (Kalinga)
19 April 2024 - 01:42 AM,13.69,120.59,102,2,017 km S 16° W of Calatagan (Batangas)
19 April 2024 - 01:29 AM,9.31,126.16,32,1.9,005 km N 42° W of Cortes (Surigao Del Sur)
19 April 2024 - 01:08 AM,9.16,123.39,22,1.8,012 km N 89° W of San Juan (Siquijor)
19 April 2024 - 12:36 AM,13.62,120.67,105,2.1,021 km N 18° W of Abra De Ilog (Occidental Mindoro)
19 April 2024 - 12:27 AM,8.45,126.31,34,2.1,009 km N 18° W of Hinatuan (Surigao Del Sur)
19 April 2024 - 12:24 AM,8.52,126.76,34,1.7,050 km N 70° E of Hinatuan (Surigao Del Sur)
19 April 2024 - 12:20 AM,5.71,125.11,30,1.8,016 km S 39° W of Glan (Sarangani)
19 April 2024 - 12:20 AM,16.33,122.02,8,2.2,012 km N 64° W of Casiguran (Aurora)
18 April 2024 - 11:55 PM,5.99,127.05,105,3.2,130 km S 56° E of Governor Generoso (Davao Oriental)
18 April 2024 - 11:54 PM,8.5,126.29,29,1.7,015 km N 71° E of Tagbina (Surigao Del Sur)
18 April 2024 - 11:04 PM,12.73,124.77,24,1.9,024 km N 04° E of Mondragon (Northern Samar)
18 April 2024 - 10:58 PM,17.4,119.07,3,2.2,138 km S 81° W of Santa Catalina (Ilocos Sur)
18 April 2024 - 10:33 PM,13.72,120.54,105,2.9,016 km S 37° W of Calatagan (Batangas)
18 April 2024 - 10:32 PM,8.39,126.29,27,1.7,006 km N 58° W of Hinatuan (Surigao Del Sur)
18 April 2024 - 10:31 PM,19.26,121.14,33,1.6,018 km N 21° W of Dalupiri Island (Calayan) (Cagayan)
18 April 2024 - 10:20 PM,5.66,126.26,1,2.8,074 km S 67° E of Jose Abad Santos (Davao Occidental)
18 April 2024 - 10:13 PM,9.37,126.33,41,3,018 km N 54° E of Cortes (Surigao Del Sur)
18 April 2024 - 10:02 PM,9.82,126.02,36,2,008 km N 31° W of Dapa (Surigao Del Norte)
18 April 2024 - 10:01 PM,13.51,120.05,22,3.1,032 km S 43° W of Looc (Occidental Mindoro)
18 April 2024 - 09:32 PM,9.91,125.41,19,2.9,016 km N 35° W of City Of Surigao (Surigao Del Norte)
18 April 2024 - 09:16 PM,9.25,126.88,2,2.6,073 km N 65° E of Bayabas (Surigao Del Sur)
18 April 2024 - 08:18 PM,17.4,120.74,30,1.8,005 km S 41° E of Manabo (Abra)
18 April 2024 - 07:43 PM,13.89,124.93,11,3,059 km N 79° E of Gigmoto (Catanduanes)
18 April 2024 - 07:25 PM,12.64,124.63,23,2.2,014 km N 28° E of Bobon (Northern Samar)
18 April 2024 - 07:24 PM,18.5,120.95,48,2.2,007 km N 49° E of Adams (Ilocos Norte)
18 April 2024 - 07:12 PM,18.41,120.99,11,2.1,011 km S 57° E of Adams (Ilocos Norte)
18 April 2024 - 07:07 PM,8.34,126.47,32,1.6,015 km S 79° E of Hinatuan (Surigao Del Sur)
18 April 2024 - 05:26 PM,8.32,126.54,26,1.5,023 km S 77° E of Hinatuan (Surigao Del Sur)
18 April 2024 - 04:44 PM,12.79,123.59,10,2,013 km S 02° W of Donsol (Sorsogon)
18 April 2024 - 03:35 PM,12.62,123.59,26,2.3,009 km S 77° W of Monreal (Masbate)
18 April 2024 - 03:21 PM,9.4,126.19,23,2.8,013 km N 01° E of Cortes (Surigao Del Sur)
18 April 2024 - 03:02 PM,5.99,126,124,2.2,041 km S 56° E of Don Marcelino (Davao Occidental)
18 April 2024 - 01:57 PM,19.4,121.59,24,1.6,019 km N 40° E of Calayan (Cagayan)
18 April 2024 - 01:01 PM,8.65,125.57,25,2.8,009 km S 70° W of Esperanza (Agusan Del Sur)
18 April 2024 - 12:52 PM,7.56,126.08,4,2.3,006 km N 81° W of New Bataan (Davao De Oro)
18 April 2024 - 12:45 PM,6.28,125.89,38,1.6,024 km N 68° E of Don Marcelino (Davao Occidental)
18 April 2024 - 11:42 AM,8.41,126.67,11,2.7,037 km N 83° E of Hinatuan (Surigao Del Sur)
18 April 2024 - 11:38 AM,9.19,126.37,25,2.8,021 km S 64° E of Cortes (Surigao Del Sur)
18 April 2024 - 11:16 AM,7.71,122.17,12,1.6,004 km N 79° E of Siocon (Zamboanga Del Norte)
18 April 2024 - 10:27 AM,8.64,127.38,16,3.6,118 km N 75° E of Hinatuan (Surigao Del Sur)
18 April 2024 - 10:11 AM,8.71,126.75,11,2.4,051 km S 79° E of Marihatag (Surigao Del Sur)
18 April 2024 - 09:30 AM,12.49,123.58,5,2.4,019 km S 29° W of Monreal (Masbate)
18 April 2024 - 09:16 AM,9.12,126.95,33,2.6,066 km N 85° E of Cagwait (Surigao Del Sur)
18 April 2024 - 09:03 AM,14.7,121.78,4,2.9,017 km S 84° W of Polillo (Quezon)
18 April 2024 - 09:02 AM,14.7,121.77,3,1.7,014 km S 69° E of Infanta (Quezon)
18 April 2024 - 08:09 AM,6.69,125.16,5,2.2,006 km S 73° W of Matanao (Davao Del Sur)
18 April 2024 - 07:57 AM,10.5,122.23,23,2.2,013 km S 46° E of San Joaquin (Iloilo)
18 April 2024 - 06:13 AM,9.75,122.21,8,2.6,024 km S 85° W of City Of Sipalay (Negros Occidental)
18 April 2024 - 05:32 AM,11.49,122.58,48,2.3,006 km N 16° W of Mambusao (Capiz)
18 April 2024 - 05:15 AM,2.86,125.91,149,4,288 km S 11° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 April 2024 - 04:34 AM,2.12,124.75,274,4.6,371 km S 12° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 April 2024 - 04:10 AM,8.9,122.3,34,2.5,067 km S 34° W of Basay (Negros Oriental)
18 April 2024 - 03:28 AM,5.77,125.19,31,1.5,006 km S 15° W of Glan (Sarangani)
18 April 2024 - 03:26 AM,8.49,125.81,66,2.3,005 km N 29° E of Talacogon (Agusan Del Sur)
18 April 2024 - 03:25 AM,17.41,120.25,33,1.9,021 km S 43° W of Caoayan (Ilocos Sur)
18 April 2024 - 03:06 AM,13.71,120.59,92,1.9,015 km S 19° W of Calatagan (Batangas)
18 April 2024 - 03:04 AM,10.08,126.12,20,2,009 km N 36° E of Burgos (Surigao Del Norte)
18 April 2024 - 02:59 AM,13.9,124.9,6,2.8,057 km N 77° E of Gigmoto (Catanduanes)
18 April 2024 - 01:56 AM,17.41,120.42,16,2.2,006 km S 80° W of Narvacan (Ilocos Sur)
18 April 2024 - 12:51 AM,8.55,126.97,13,2.7,073 km N 74° E of Hinatuan (Surigao Del Sur)
18 April 2024 - 12:41 AM,17.96,120.79,5,2.4,015 km N 69° E of Nueva Era (Ilocos Norte)
18 April 2024 - 12:34 AM,8.01,126.7,19,1.8,032 km S 84° E of Lingig (Surigao Del Sur)
17 April 2024 - 11:47 PM,9.89,122.26,28,2.1,023 km N 55° W of City Of Sipalay (Negros Occidental)
17 April 2024 - 11:14 PM,13.73,120.81,10,2,015 km S 80° W of Mabini (Batangas)
17 April 2024 - 11:12 PM,13.7,120.84,4,3.3,006 km N 36° W of Tingloy (Batangas)
17 April 2024 - 10:51 PM,13.71,120.83,1,2.7,007 km N 36° W of Tingloy (Batangas)
17 April 2024 - 10:11 PM,8.99,126.34,46,2.2,009 km N 30° E of Cagwait (Surigao Del Sur)
17 April 2024 - 09:57 PM,7.85,127.03,20,3,060 km N 59° E of Baganga (Davao Oriental)
17 April 2024 - 09:56 PM,9.71,126.19,32,1.8,009 km S 24° E of General Luna (Surigao Del Norte)
17 April 2024 - 09:54 PM,9.56,126.06,18,1.9,012 km S 58° E of Socorro (Surigao Del Norte)
17 April 2024 - 09:21 PM,8.26,126.22,24,2,017 km S 48° W of Hinatuan (Surigao Del Sur)
17 April 2024 - 08:00 PM,8.76,126.67,9,2.2,041 km S 85° E of Marihatag (Surigao Del Sur)
17 April 2024 - 07:55 PM,9.87,126.47,7,3.6,036 km N 74° E of General Luna (Surigao Del Norte)
17 April 2024 - 07:10 PM,8.57,126.9,17,3.1,066 km N 70° E of Hinatuan (Surigao Del Sur)
17 April 2024 - 04:11 PM,14.74,120.09,45,3.2,020 km N 71° W of Morong (Bataan)
17 April 2024 - 03:28 PM,14.14,120.38,109,1.5,028 km N 75° W of Nasugbu (Batangas)
17 April 2024 - 03:12 PM,8.76,126.65,8,1.8,039 km S 83° E of Marihatag (Surigao Del Sur)
17 April 2024 - 03:01 PM,8.78,126.48,6,1.5,020 km S 83° E of Marihatag (Surigao Del Sur)
17 April 2024 - 03:00 PM,7.82,126.59,21,1.6,015 km N 79° E of Cateel (Davao Oriental)
17 April 2024 - 02:48 PM,6.4,126.21,33,2.7,032 km S 28° E of Governor Generoso (Davao Oriental)
17 April 2024 - 02:38 PM,18.28,121.64,104,1.6,004 km N 59° W of Camalaniugan (Cagayan)
17 April 2024 - 01:36 PM,6.21,124.82,32,2.4,000 km S 34° E of T'boli (South Cotabato)
17 April 2024 - 01:28 PM,8.16,126.49,37,1.7,016 km N 33° E of Lingig (Surigao Del Sur)
17 April 2024 - 10:11 AM,14.26,123.02,1,2.7,016 km N 52° E of Vinzons (Camarines Norte)
17 April 2024 - 09:49 AM,8.04,126.76,30,1.7,038 km N 89° E of Lingig (Surigao Del Sur)
17 April 2024 - 08:58 AM,9.67,126.26,24,1.7,017 km S 42° E of General Luna (Surigao Del Norte)
17 April 2024 - 08:55 AM,9.67,126.22,28,1.6,014 km S 30° E of General Luna (Surigao Del Norte)
17 April 2024 - 08:33 AM,14.95,120.15,27,1.8,003 km S 02° W of San Marcelino (Zambales)
17 April 2024 - 07:35 AM,16.1,122.27,15,2,025 km S 38° E of Casiguran (Aurora)
17 April 2024 - 07:28 AM,9.75,126.51,15,2.8,039 km S 85° E of General Luna (Surigao Del Norte)
17 April 2024 - 07:06 AM,15.15,122.25,24,2.7,044 km N 05° E of Patnanungan (Quezon)
17 April 2024 - 05:46 AM,9.99,126.21,33,2.2,015 km N 66° E of San Isidro (Surigao Del Norte)
17 April 2024 - 05:21 AM,15.5,121.63,11,1.6,027 km S 26° E of San Luis (Aurora)
17 April 2024 - 05:13 AM,10.05,126.15,8,2.6,009 km N 64° E of Burgos (Surigao Del Norte)
17 April 2024 - 04:47 AM,9.8,126.15,27,2,002 km N 17° W of General Luna (Surigao Del Norte)
17 April 2024 - 04:25 AM,9.77,126.38,32,1.4,025 km S 86° E of General Luna (Surigao Del Norte)
17 April 2024 - 04:17 AM,9.66,125.97,3,1.9,025 km S 57° W of General Luna (Surigao Del Norte)
17 April 2024 - 04:16 AM,9.61,126.18,3,2.3,019 km S 08° E of General Luna (Surigao Del Norte)
17 April 2024 - 04:11 AM,14.03,119.79,33,2.5,041 km N 62° W of Lubang (Occidental Mindoro)
17 April 2024 - 04:09 AM,9.75,126.48,8,2.2,036 km S 83° E of General Luna (Surigao Del Norte)
17 April 2024 - 03:42 AM,19.77,121.26,12,3.2,061 km N 22° W of Calayan (Cagayan)
17 April 2024 - 03:26 AM,9.68,126.21,26,1.6,013 km S 29° E of General Luna (Surigao Del Norte)
17 April 2024 - 03:14 AM,8.53,126.8,19,2.5,054 km N 71° E of Hinatuan (Surigao Del Sur)
17 April 2024 - 03:03 AM,5.75,125.17,29,1.6,009 km S 27° W of Glan (Sarangani)
17 April 2024 - 02:41 AM,9.64,126.2,23,1.7,016 km S 16° E of General Luna (Surigao Del Norte)
17 April 2024 - 02:25 AM,9.74,126.4,11,3.4,027 km S 79° E of General Luna (Surigao Del Norte)
17 April 2024 - 02:13 AM,10.1,126.3,32,2.4,026 km N 71° E of Burgos (Surigao Del Norte)
17 April 2024 - 02:07 AM,9.74,126.39,13,2.5,026 km S 80° E of General Luna (Surigao Del Norte)
17 April 2024 - 02:01 AM,9.78,126.38,12,3.4,024 km S 89° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:52 AM,16.46,120.86,20,1.8,005 km S 42° E of Bokod (Benguet)
17 April 2024 - 01:37 AM,9.76,126.46,32,1.4,034 km S 85° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:35 AM,9.29,126.64,9,2,049 km N 88° E of Cortes (Surigao Del Sur)
17 April 2024 - 01:28 AM,9.68,126.3,28,1.5,020 km S 56° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:24 AM,9.67,126.31,28,1.9,020 km S 53° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:23 AM,9.66,126.27,28,1.6,019 km S 42° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:18 AM,8.97,126.57,18,2.6,030 km N 79° E of Cagwait (Surigao Del Sur)
17 April 2024 - 01:12 AM,6.04,124.83,35,1.7,019 km S 03° E of T'boli (South Cotabato)
17 April 2024 - 01:10 AM,9.65,126.24,27,2,018 km S 32° E of General Luna (Surigao Del Norte)
17 April 2024 - 01:07 AM,9.66,126.12,33,1.9,015 km S 17° W of General Luna (Surigao Del Norte)
17 April 2024 - 12:49 AM,9.75,126.37,18,1.6,024 km S 81° E of General Luna (Surigao Del Norte)
17 April 2024 - 12:36 AM,8.22,126.5,25,1.7,020 km N 89° E of City Of Bislig (Surigao Del Sur)
17 April 2024 - 12:34 AM,9.69,126.08,33,2,013 km S 40° W of General Luna (Surigao Del Norte)
17 April 2024 - 12:22 AM,9.76,126.49,22,2.7,037 km S 87° E of General Luna (Surigao Del Norte)
17 April 2024 - 12:21 AM,5.96,125,17,2.9,011 km N 04° E of Maasim (Sarangani)
17 April 2024 - 12:19 AM,9.66,126.32,33,2,023 km S 53° E of General Luna (Surigao Del Norte)
17 April 2024 - 12:18 AM,9.64,126.24,26,1.9,018 km S 32° E of General Luna (Surigao Del Norte)
17 April 2024 - 12:08 AM,9.75,126.35,23,2.4,021 km S 79° E of General Luna (Surigao Del Norte)
17 April 2024 - 12:06 AM,9.73,126.36,17,5,023 km S 77° E of General Luna (Surigao Del Norte)
16 April 2024 - 11:59 PM,9.18,126.87,10,3.3,068 km N 70° E of Bayabas (Surigao Del Sur)
16 April 2024 - 11:57 PM,4.54,125.87,129,3.1,109 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
16 April 2024 - 11:43 PM,5.71,126.08,206,3,053 km S 66° E of Jose Abad Santos (Davao Occidental)
16 April 2024 - 10:54 PM,19.24,121.19,31,2.1,014 km N 06° W of Dalupiri Island (Calayan) (Cagayan)
16 April 2024 - 10:41 PM,9.5,125.85,105,2.5,015 km S 59° E of Claver (Surigao Del Norte)
16 April 2024 - 10:23 PM,6.44,126.44,33,1.9,047 km S 60° E of Governor Generoso (Davao Oriental)
16 April 2024 - 09:04 PM,14.2,119.25,19,3,101 km N 68° W of Lubang (Occidental Mindoro)
16 April 2024 - 08:07 PM,15.62,119.87,26,2.4,006 km S 86° W of Candelaria (Zambales)
16 April 2024 - 07:54 PM,3.93,126.19,12,3.5,185 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
16 April 2024 - 07:36 PM,19.06,121.18,9,2.8,006 km S 24° W of Dalupiri Island (Calayan) (Cagayan)
16 April 2024 - 07:09 PM,4.93,125.76,100,2.8,066 km S 35° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
